Time,X,Y
1784806998270.763,0.65614,0.96374
1784806998311.363,0.63031,0.96389
1784806998371.688,0.60257,0.96398
1784806998410.757,0.57161,0.96417
1784806998473.989,0.53998,0.96402
1784806998511.336,0.51036,0.96411
1784806998572.265,0.48248,0.9641
1784806998611.427,0.45318,0.96419
1784806998672.4019,0.42123,0.96436
1784806998711.057,0.3885,0.96442
1784806998771.565,0.35719,0.96448
1784806998831.434,0.32788,0.96421
1784806998872.106,0.29854,0.96364
1784806998931.062,0.26781,0.96327
1784806998971.253,0.2405,0.96259
1784806999030.457,0.2212,0.96188
1784806999070.9917,0.20562,0.96189
1784806999131.427,0.18876,0.96188
1784806999171.087,0.16895,0.96151
1784806999231.4602,0.15033,0.9611
1784806999271.9739,0.13823,0.95992
1784806999331.5662,0.1306,0.95933
1784806999391.676,0.1223,0.9591
1784806999431.1921,0.11009,0.95841
1784806999472.437,0.09765,0.95814
1784806999532.0662,0.09068,0.95784
1784806999592.152,0.08886,0.95764
1784806999632.561,0.08775,0.95763
1784806999692.425,0.08649,0.95767
1784806999731.8909,0.08535,0.95772
1784806999792.633,0.08426,0.95777
1784806999831.9658,0.08322,0.95784
1784806999892.575,0.0823,0.95782
1784806999951.9438,0.08174,0.9577
1784806999991.684,0.08146,0.95779
1784807000052.0042,0.0813,0.95778
1784807000091.403,0.08266,0.95592
1784807000152.124,0.08678,0.94498
1784807000192.2021,0.08936,0.9244
1784807000252.939,0.09158,0.90247
1784807000292.289,0.09366,0.87801
1784807000352.7478,0.09559,0.8471
1784807000412.718,0.09699,0.81602
1784807000472.6602,0.09785,0.788
1784807000512.207,0.09829,0.76228
1784807000572.2283,0.0984,0.73738
1784807000611.817,0.09854,0.71136
1784807000672.693,0.0987,0.68328
1784807000712.969,0.09913,0.65428
1784807000773.6,0.0993,0.62588
1784807000811.918,0.09933,0.59815
1784807000872.4612,0.09948,0.56996
1784807000911.733,0.10007,0.50958
1784807000972.252,0.10005,0.47927
1784807001011.5981,0.10005,0.47927
1784807001072.52,0.10024,0.44915
1784807001111.819,0.10047,0.41822
1784807001172.742,0.09976,0.35424
1784807001211.5872,0.09976,0.35424
1784807001273.0188,0.09926,0.32141
1784807001311.859,0.09854,0.25825
1784807001372.721,0.09868,0.23222
1784807001411.4539,0.09855,0.21114
1784807001472.263,0.09807,0.19196
1784807001513.543,0.09812,0.17258
1784807001572.761,0.09787,0.15194
1784807001612.91,0.0977,0.13414
1784807001672.708,0.09733,0.12135
1784807001712.1013,0.0977,0.11101
1784807001774.416,0.09779,0.10001
1784807001812.4102,0.09755,0.08758
1784807001872.384,0.09735,0.07764
1784807001911.979,0.0964,0.0706
1784807001971.7878,0.09516,0.0656
1784807002011.7969,0.09379,0.06243
1784807002072.0032,0.09254,0.06068
1784807002133.474,0.09157,0.05987
1784807002172.173,0.09069,0.05983
1784807002231.91,0.08978,0.06049
1784807002271.7769,0.08897,0.06091
1784807002332.182,0.08859,0.06096
1784807002371.988,0.08831,0.06085
1784807002432.363,0.0883,0.06088
1784807002471.7769,0.08855,0.06094
1784807002533.6453,0.08884,0.06108
1784807002573.204,0.08913,0.06102
1784807002633.2842,0.08947,0.06089
1784807002671.914,0.08972,0.0609
1784807002732.3022,0.08986,0.06072
1784807002771.966,0.08978,0.06058
1784807002832.922,0.09119,0.06044
1784807002872.364,0.10122,0.06086
1784807002932.239,0.11984,0.06036
1784807002971.599,0.14125,0.06141
1784807003032.054,0.16433,0.06322
1784807003071.863,0.18971,0.0645
1784807003132.1543,0.21836,0.06586
1784807003172.5618,0.24752,0.06756
1784807003232.0261,0.27379,0.0688
1784807003272.1082,0.29748,0.07003
1784807003332.3418,0.32297,0.07133
1784807003392.941,0.35274,0.07285
1784807003432.011,0.38416,0.07434
1784807003492.9019,0.41355,0.07551
1784807003531.709,0.44038,0.07666
1784807003592.252,0.46746,0.0778
1784807003632.249,0.49847,0.07909
1784807003692.264,0.53174,0.08095
1784807003731.4639,0.56373,0.08291
1784807003791.281,0.59295,0.0846
1784807003831.267,0.62163,0.08612
1784807003891.126,0.65326,0.08761
1784807003951.362,0.68711,0.08929
1784807003991.909,0.72068,0.09112
1784807004052.792,0.75209,0.09309
1784807004091.8982,0.78159,0.09464
1784807004152.4302,0.80837,0.0958
1784807004191.806,0.83174,0.09701
1784807004251.971,0.85191,0.09822
1784807004291.621,0.87068,0.09923
1784807004352.698,0.88894,0.10038
1784807004391.464,0.90596,0.10129
1784807004452.1558,0.91975,0.10263
1784807004491.921,0.93119,0.1035
1784807004552.1592,0.9417,0.1041
1784807004592.747,0.95253,0.10473
1784807004652.069,0.96158,0.10558
1784807004692.7192,0.96788,0.10583
1784807004751.843,0.9733,0.10586
1784807004811.861,0.97837,0.10607
1784807004852.756,0.98306,0.10641
1784807004912.0,0.98694,0.10668
1784807004951.8699,0.99047,0.10684
1784807005012.146,0.99387,0.10691
1784807005051.621,0.99678,0.10671
1784807005111.383,0.99941,0.10661
1784807005171.9812,1.00157,0.10664
1784807005211.478,1.00033,0.10906
1784807005271.744,0.99058,0.14161
1784807005312.215,0.99058,0.14161
1784807005372.612,0.98684,0.19018
1784807005431.901,0.98563,0.22075
1784807005472.446,0.98372,0.25325
1784807005531.8147,0.98093,0.28318
1784807005572.0361,0.97831,0.31098
1784807005633.142,0.97602,0.33799
