Time,X,Y
1784807664458.518,0.03931,0.92798
1784807664498.019,0.03651,0.92792
1784807664537.445,0.03477,0.92781
1784807664597.7112,0.03288,0.92794
1784807664637.208,0.03042,0.92788
1784807664696.5828,0.0275,0.92803
1784807664736.286,0.02707,0.92805
1784807664817.075,0.02698,0.92807
1784807664836.904,0.02725,0.92793
1784807664917.1602,0.0277,0.92781
1784807664957.671,0.02821,0.92787
1784807664999.0981,0.02825,0.92749
1784807665057.3389,0.02488,0.92439
1784807665097.18,0.0172,0.91307
1784807665157.106,0.01246,0.88932
1784807665297.769,0.00998,0.86014
1784807665298.561,0.00867,0.83081
1784807665299.5571,0.00855,0.80154
1784807665375.6511,0.00801,0.7727
1784807665417.459,0.00745,0.74434
1784807665477.139,0.00752,0.71642
1784807665517.131,0.00829,0.68879
1784807665590.441,0.00909,0.66261
1784807665618.2148,0.00976,0.63777
1784807665657.307,0.00984,0.61386
1784807665717.591,0.00883,0.5904
1784807665757.4458,0.00684,0.56678
1784807665822.011,0.00431,0.54259
1784807665856.853,0.00199,0.51781
1784807665916.855,0.00066,0.49293
1784807665977.471,0.00031,0.46743
1784807666039.0261,0.00066,0.44196
1784807666077.544,0.00142,0.41668
1784807666119.398,0.00159,0.39179
1784807666177.181,0.00135,0.36707
1784807666218.014,0.00109,0.34284
1784807666338.1707,0.00037,0.31878
1784807666338.9731,-0.00058,0.29435
1784807666398.9172,-0.0012,0.26981
1784807666438.892,-0.00189,0.24498
1784807666498.848,-0.00218,0.22094
1784807666538.395,-0.00215,0.19937
1784807666579.1638,-0.00179,0.1795
1784807666637.8838,-0.0016,0.15987
1784807666678.7698,-0.00161,0.14327
1784807666738.488,-0.00143,0.13066
1784807666778.2468,-0.00166,0.1217
1784807666838.891,-0.00196,0.11515
1784807666898.192,-0.00278,0.10766
1784807666939.276,-0.00278,0.10766
1784807666997.3162,-0.00293,0.09653
1784807667058.82,-0.00292,0.08762
1784807667097.7822,-0.00259,0.07799
1784807667157.6472,-0.00246,0.06881
